sigla,nome,ideologia,economia,sociedade
LIVRE,LIVRE, Esquerda,Conservador,Liberal
BE,Bloco de Esquerda,Esquerda,Liberal,Liberal
PAN,Pessoas Animais Natureza, Centro-Esquerda, Centrista, Liberal
PS,Partido Socialista, Centro-Esquerda,Progressista, Progressista
PCP,Partido Comunista Português,Extrema-Esquerda,Ultra-Conservador,Conservador
PSD,Partido Social Democrata,Centro-Direita,Conservador,Liberal
IL,Iniciativa Liberal, Direita, Liberal, Conservador
CHEGA,Chega,Extrema-Direita,Conservador,Ultra-Conservador
